day,p5,p25,p50,p75,p95
160,13028.124139647354,14900.521166906157,16257.312235683437,17616.403445361095,19555.237716053416
161,13055.113388285068,14938.027505886272,16298.756600536159,17653.397607965006,19589.730160376854
162,13094.123936362355,14988.106553557513,16323.654996486574,17689.602887757435,19635.234386563585
163,13129.307012632258,15019.496908104655,16364.099281767794,17716.633215269947,19720.036576592785
164,13151.1062565128,15051.594025366934,16396.98322936416,17753.676942693146,19776.856061608447
165,13181.469911428194,15088.125943762385,16430.268917508576,17804.944629878944,19811.46230977629
166,13184.196477506872,15123.370017757501,16479.835665018876,17838.490125964498,19851.287847964744
167,13232.690594433478,15154.232779839567,16512.090798306177,17886.5604569543,19897.818884370874
168,13274.078425103555,15187.839520161122,16543.824707286152,17938.67628420465,19938.943792638547
169,13298.995824501146,15221.050826615749,16597.32420075783,17982.66315438192,19978.748315792283
170,13347.248842632054,15255.57094823585,16630.395613566496,18020.805825626394,20015.612661146868
171,13382.801563348346,15289.470736407904,16666.593790168983,18058.57137052453,20061.68210932571
172,13393.411044857849,15322.470768395624,16699.370115711987,18094.223384560006,20137.229131550288
173,13441.55519674319,15366.131313829213,16751.883972491392,18137.209454078795,20183.56821465329
174,13459.31137127463,15405.274430809197,16789.869054457937,18172.882948621584,20236.497408623163
175,13499.893647521829,15426.454308493616,16831.29553862803,18219.550782256265,20263.327523634773
176,13517.537651432764,15453.646874379294,16864.670549027003,18264.31900941497,20306.945384465962
177,13553.569925093047,15494.01758640488,16898.240455724757,18299.111916779704,20346.794005396023
178,13583.255293320619,15535.843763831079,16935.300579860457,18324.17489023241,20398.14770545691
179,13628.455109895194,15571.874253931717,16978.89405995804,18386.292825468547,20462.723276236655
180,13662.100810212776,15594.231352991557,17019.405517321233,18420.923967120954,20510.380222164837
181,13698.513801675981,15634.901523798802,17059.313406998444,18456.847114375312,20562.540682241346
182,13719.792761990544,15672.744119076398,17101.665334354206,18498.658427157832,20609.713784981916
183,13746.667459431896,15703.542040644177,17140.133803345125,18555.238289968736,20669.024027855266
184,13771.83474722191,15728.706872480778,17186.277167548193,18581.644654489537,20707.978622717732
185,13778.97078635919,15774.102604835354,17219.84574907399,18620.772860649537,20781.26352482582
186,13825.153028856746,15809.670601519512,17269.71818207598,18681.000951142578,20812.13975898207
187,13870.533884108361,15847.838715342306,17298.534677484815,18715.946151025844,20852.310972483945
188,13906.32044120996,15891.811565100783,17336.957458618468,18781.978205789048,20936.919550807223
189,13900.12808073145,15930.045939547945,17377.793822302112,18819.44377771688,20966.991068378346
190,13945.689766201496,15963.23263389841,17412.131799050607,18863.56229139443,21031.966011996115
191,13993.525868193621,15996.621602822916,17449.64092966046,18912.544409902723,21071.043023447673
192,14018.037277766221,16026.786696608337,17496.405516262832,18958.37547662296,21111.450295766317
193,14067.050235502147,16075.92979524266,17535.317937540894,19000.11816929249,21134.813762716476
194,14104.33639502424,16101.992054421138,17573.437064711907,19041.956677151724,21171.79550933542
195,14119.854758434658,16129.430356799003,17618.132758795567,19073.234198996943,21231.36685700684
196,14141.599062259387,16162.547127727172,17673.479993882007,19124.404269507715,21294.036408682226
197,14180.070285269396,16196.936676457935,17701.49428993851,19164.865373172524,21349.737552031944
198,14186.560911827482,16236.10163570704,17734.45688224321,19216.667565561715,21409.216893818768
199,14217.356230355284,16283.482749649931,17770.742956863513,19259.88925244238,21459.265592885058
200,14249.341515325219,16314.577058750257,17807.78851468273,19310.958150111328,21511.820700573597
201,14289.368260761707,16356.808792362306,17851.18488082614,19352.966273307233,21540.402179812365
202,14331.770963106535,16384.73331233938,17892.15233091731,19396.947777336834,21615.280714559445
203,14342.329988878426,16420.675966356655,17936.232532760383,19416.423747937493,21684.82012179438
204,14374.3576398948,16449.739641477252,17982.282746954108,19459.849309480265,21699.368310009275
205,14389.133821610285,16487.79913211606,18032.351045317795,19515.004609132495,21729.002718704658
206,14414.317306029128,16525.166969705013,18061.569069386245,19553.00623900868,21797.48278705832
207,14443.2352671601,16553.19872079614,18103.71772856496,19589.57468930375,21860.39225654504
208,14487.13876213426,16587.74778236048,18140.71909826808,19635.37575014538,21910.581879161447
